Molality,Osmotic Coefficient,Osmotic Coefficient Error,Osmotic Pressure,Osmotic Pressure Error
0.1,0.876156603508501,nan,6.553427158382232,0.0
0.2,0.8552664320102484,nan,12.729340319232541,0.0
0.3,0.8461603726100361,nan,18.79535627371653,0.0
0.4,0.8419102401216737,nan,24.88510554551523,0.0
0.5,0.8402234577292296,nan,31.044113254326785,0.0
0.6,0.8400339696551775,nan,37.16711125932306,0.0
0.7,0.8407436068878832,nan,43.40351921570787,0.0
0.8,0.8419641206655517,nan,49.51381910584818,0.0
0.9,0.843487990000049,nan,55.64911999132396,0.0
1.0,0.8451683781969304,nan,61.8036315763719,0.0
1.2,0.8486389575400969,nan,74.23760097179374,0.0
1.4,0.8517501960063356,nan,86.4230530645919,0.0
1.6,0.8542682888871374,nan,98.47284083377913,0.0
2.0,0.8570050358476299,nan,122.5694400556701,0.0
2.5,0.8554107624126673,nan,150.2816149813246,0.0
3.0,0.8483845252550498,nan,175.73307434372418,0.0
3.5,0.8353598886465093,nan,199.82946786002506,0.0
4.0,0.8203063286899653,0.0,217.59789583664238,0.0
4.5,0.8203063286899653,0.0,217.59789583664238,0.0
