Molality,Osmotic Coefficient,Osmotic Coefficient Error,Osmotic Pressure,Osmotic Pressure Error
0.1,0.9410752844924124,0.0029278337806130095,4.69119546227681,0.0523565381451041
0.2,0.9383121706741588,0.003690737171866243,9.361864491119988,0.08254884138854113
0.3,0.9392410939349333,0.003926591600937446,14.050442402737499,0.09678049689922208
0.4,0.9413741370279441,0.003935178620494417,18.792637131734974,0.11065711105922205
0.5,0.943998338888508,0.003851986295586529,23.5579603230608,0.12006339422827139
0.6,0.9468524474970468,0.003691726621985747,28.37218983850837,0.12796951758310549
0.7,0.9497987000592528,0.0035819249799354247,33.217254994619864,0.136102942899349
0.8,0.9527537901401638,0.003462352048448747,38.06421427622386,0.14493736641291832
0.9,0.9557029615687663,0.003240781644728463,42.94731290479424,0.15782748201838714
1.0,0.9586236918221976,0.003012051436659058,47.86318601025187,0.16983948244812908
1.2,0.964314975664184,0.002696586419213387,57.75573345928235,0.19078234842812947
1.4,0.9697998246300052,0.0024844772859324293,67.77748939816962,0.21026675406959328
1.6,0.9750262649590431,0.002458850359436604,77.8600850989535,0.23461774677669922
1.8,0.9800440209198746,0.002509580823371549,88.10638802277191,0.25947887489113697
2.0,0.9847731620648598,0.0026871943629773187,98.34489969911535,0.28271458039734654
2.5,0.9955628381305017,0.0035909007411543126,124.2935740980855,0.4150622528139607
3.0,1.0048550757414512,0.004533631212318701,150.49587989175927,0.6021848718351777
3.5,1.0127580751768601,0.005679752846349917,177.01038073269254,0.8161999116787513
4.0,1.0192558226946564,0.006855718291804647,203.5381851014871,1.156866818949382
4.5,1.0244342548899297,0.007843359338166156,230.19778015391665,1.63187105852748
5.0,1.0282786825209873,0.008556885936850556,256.6910054279227,2.259868005582831
5.5,1.0291042037394915,0.008719634746231608,263.9118825395761,2.4653355340458916
6.0,1.0291042037394915,0.008719634746231608,263.9118825395761,2.4653355340458916
